Video: Game02_video0001
----------------------------------------
Distance Values for different threshold per Frame:
----------------------------------------
80,0,-0.64,-0.4,-0.12,-0.04,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,0,-0.68,-0.24,0,-0.04,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,-0.04,-0.2,-0.04,-0.04,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,-0.04,-0.4,-0.08,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,-0.16,-0.52,-0.2,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,-0.2,-0.6,0,0.2,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,-0.44,-0.76,-0.36,-0.04,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,-0.4,-1.12,-0.56,-0.12,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,-0.56,-0.72,-0.4,-0.12,-0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,
170,-0.48,-0.32,-0.04,-0.12,-0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,-0.4,0,0.12,-0.08,-0.04,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,0.08,0.84,0.92,0.6,0.4,0.32,0.32,0.16,0.12,0.12,0.08,0,0,0,0,0,0,0,0,0,
200,0.12,1.32,1.44,1.16,0.92,0.64,0.44,0.32,0.24,0.2,0.12,0,0,0,0,0,0,0,0,0,
210,0.44,1.6,1.88,1.72,1.32,0.72,0.52,0.36,0.24,0.2,0.12,0,0,0,0,0,0,0,0,0,
220,0.64,1.68,2.16,2.32,1.92,1.08,0.72,0.48,0.32,0.24,0.16,0.04,0.04,0.04,0,0,0,0,0,0,
230,0.6,1.6,2.2,2.68,2.24,1.2,0.76,0.56,0.32,0.24,0.16,0.04,0.04,0.04,0,0,0,0,0,0,
240,0.36,1.04,1.6,2.16,1.96,1.08,0.56,0.44,0.28,0.08,0.04,0.04,0.04,0.04,0,0,0,0,0,0,
250,0.32,0.72,1.16,1.64,1.56,1.08,0.52,0.28,0.16,0.04,0.08,0.16,0.16,0.12,0.04,0.04,0.04,0.04,0,0,
260,0.16,0.36,0.68,1.08,1.44,1.48,0.88,0.48,0.32,0.12,0.16,0.24,0.16,0.12,0.04,0.04,0.04,0.04,0,0,
270,0,0.12,0.24,0.48,0.84,1.36,0.92,0.64,0.48,0.16,0.2,0.2,0.12,0.04,0.04,0.04,0.04,0.04,0,0,
280,0,0,0,0.04,0.64,1.52,1.28,0.88,0.72,0.36,0.4,0.32,0.16,0.08,0.04,0.04,0.04,0.04,0,0,
290,0,0,0,0,0.32,0.96,1.08,0.68,0.48,0.36,0.4,0.32,0.16,0.08,0.04,0.04,0.04,0.04,0,0,
300,0,0,0,-0.2,-0.08,0.24,0.76,0.6,0.44,0.24,0.24,0.12,-0.04,-0.04,0,0,0,0,0.04,0.04,
310,0,0,0,-0.4,-0.8,-0.72,-0.16,0.08,0.12,0.08,0.08,-0.04,-0.04,-0.04,0,0,0,0,0.04,0.04,
320,0,-0.04,-0.08,-0.8,-1.28,-1.44,-0.8,-0.6,-0.44,-0.12,-0.12,-0.08,-0.08,0,0,0,0,0,0.04,0.04,
330,0,-0.04,-0.12,-0.96,-1.76,-2.12,-1.68,-1.24,-0.88,-0.52,-0.52,-0.32,-0.16,-0.08,0,0,0,0,0.04,0.04,
Video: Game15_video0001
----------------------------------------
Distance Values for different threshold per Frame:
----------------------------------------
Frames,842.931,1685.86,2528.79,3371.73,4214.66,5057.59,5900.52,6743.45,7586.38,8429.31,9272.24,10115.2,10958.1,11801,12644,13486.9,14329.8,15172.8,16015.7,
50,1.24,2.04,0.76,0.28,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0.72,2,1.16,0.52,0.24,0.2,0.08,0.04,0.04,0,0,0,0,0,0,0,0,0,0,
70,0.36,1.88,1.64,0.64,0.32,0.2,0.08,0.04,0.04,0,0,0,0,0,0,0,0,0,0,
80,0.08,1.48,1.88,0.88,0.44,0.24,0.08,0.04,0.04,0,0,0,0,0,0,0,0,0,0,
